text,punct,symb,tokenized,nonstop,stemmed,polarity,subjectivity,sentiment
" 11 uplifting visuals to brighten your mood:

1. https://t.co/nkyljq9bkz"," 11 uplifting visuals to brighten your mood

1 httpstconkyljqbkz"," 11 uplifting visuals to brighten your mood:

1. https://t.co/nkyljq9bkz","['', '11', 'uplifting', 'visuals', 'to', 'brighten', 'your', 'mood', '1', 'httpstconkyljqbkz']","['', '11', 'uplifting', 'visuals', 'brighten', 'mood', '1', 'httpstconkyljqbkz']","['', '11', 'uplift', 'visual', 'brighten', 'mood', '1', 'httpstconkyljqbkz']",0.0,0.0,
" @witchdctralex you have blessed me immensely in so many ways, alex. i thank you back. shivam is a gem 💎 ✨. so very kin…", witchdctralex you have blessed me immensely in so many ways alex i thank you back shivam is a gem 💎 ✨ so very kin…,  witchdctralex you have blessed me immensely in so many ways  alex. i thank you back. shivam is a gem 💎 ✨. so very kin…,"['', 'witchdctralex', 'you', 'have', 'blessed', 'me', 'immensely', 'in', 'so', 'many', 'ways', 'alex', 'i', 'thank', 'you', 'back', 'shivam', 'is', 'a', 'gem', 'so', 'very', 'kin', '']","['', 'witchdctralex', 'blessed', 'immensely', 'many', 'ways', 'alex', 'thank', 'back', 'shivam', 'gem', 'kin', '']","['', 'witchdctralex', 'bless', 'immens', 'mani', 'way', 'alex', 'thank', 'back', 'shivam', 'gem', 'kin', '']",0.2333333333333333,0.26666666666666666,
" shivam dube forgot to turn off ig comment section and csghay fixer pans attacked him. worst fanbase for a reason
but re…"," shivam dube forgot to turn off ig comment section and csghay fixer pans attacked him worst fanbase for a reason
but re…"," shivam dube forgot to turn off ig comment section and csghay fixer pans attacked him. worst fanbase for a reason
but re…","['', 'shivam', 'dube', 'forgot', 'to', 'turn', 'off', 'ig', 'comment', 'section', 'and', 'csghay', 'fixer', 'pans', 'attacked', 'him', 'worst', 'fanbase', 'for', 'a', 'reason', 'but', 're', '']","['', 'shivam', 'dube', 'forgot', 'turn', 'ig', 'comment', 'section', 'csghay', 'fixer', 'pans', 'attacked', 'worst', 'fanbase', 'reason', '']","['', 'shivam', 'dube', 'forgot', 'turn', 'ig', 'comment', 'section', 'csghay', 'fixer', 'pan', 'attack', 'worst', 'fanbas', 'reason', '']",-1.0,1.0,
@indian93305872 @naresh7msdian @ganesh06914465 @msdian_ssrian @msdhoni anjum is pure muslim follower means kattar m… https://t.co/zv4wixudep,indian335872 naresh7msdian ganesh614465 msdianssrian msdhoni anjum is pure muslim follower means kattar m… httpstcozv4wixudep, indian93305872  naresh7msdian  ganesh06914465  msdian_ssrian  msdhoni anjum is pure muslim follower means kattar m… https://t.co/zv4wixudep,"['indian335872', 'naresh7msdian', 'ganesh614465', 'msdianssrian', 'msdhoni', 'anjum', 'is', 'pure', 'muslim', 'follower', 'means', 'kattar', 'm', 'httpstcozv4wixudep']","['indian335872', 'naresh7msdian', 'ganesh614465', 'msdianssrian', 'msdhoni', 'anjum', 'pure', 'muslim', 'follower', 'means', 'kattar', 'httpstcozv4wixudep']","['indian335872', 'naresh7msdian', 'ganesh614465', 'msdianssrian', 'msdhoni', 'anjum', 'pure', 'muslim', 'follow', 'mean', 'kattar', 'httpstcozv4wixudep']",0.21428571428571427,0.5,
 love you the most @shraddhakapoor 💜💜💜💘✨🥰🥰 https://t.co/eaqjzrjglq, love you the most shraddhakapoor 💜💜💜💘✨🥰🥰 httpstcoeaqjzrjglq, love you the most  shraddhakapoor 💜💜💜💘✨🥰🥰 https://t.co/eaqjzrjglq,"['', 'love', 'you', 'the', 'most', 'shraddhakapoor', 'httpstcoeaqjzrjglq']","['', 'love', 'shraddhakapoor', 'httpstcoeaqjzrjglq']","['', 'love', 'shraddhakapoor', 'httpstcoeaqjzrjglq']",0.5,0.55,
 good morning🤍 https://t.co/jzc7ukjr2k, good morning🤍 httpstcojzc7ukjr2k, good morning🤍 https://t.co/jzc7ukjr2k,"['', 'good', 'morning', 'httpstcojzc7ukjr2k']","['', 'good', 'morning', 'httpstcojzc7ukjr2k']","['', 'good', 'morn', 'httpstcojzc7ukjr2k']",0.7,0.6000000000000001,
 facts 💯 https://t.co/sby2vkevrs, facts 💯 httpstcosby2vkevrs, facts 💯 https://t.co/sby2vkevrs,"['', 'facts', 'httpstcosby2vkevrs']","['', 'facts', 'httpstcosby2vkevrs']","['', 'fact', 'httpstcosby2vkevr']",0.0,0.0,
@liateoffl @astha38312392 @rvcj_fb exactly 😂 kch aise word h jo sirf hm eastern up bihar wale log use krte h,liateoffl astha3831232 rvcjfb exactly 😂 kch aise word h jo sirf hm eastern up bihar wale log use krte h, liateoffl  astha38312392  rvcj_fb exactly 😂 kch aise word h jo sirf hm eastern up bihar wale log use krte h,"['liateoffl', 'astha3831232', 'rvcjfb', 'exactly', 'kch', 'aise', 'word', 'h', 'jo', 'sirf', 'hm', 'eastern', 'up', 'bihar', 'wale', 'log', 'use', 'krte', 'h']","['liateoffl', 'astha3831232', 'rvcjfb', 'exactly', 'kch', 'aise', 'word', 'h', 'jo', 'sirf', 'hm', 'eastern', 'bihar', 'wale', 'log', 'use', 'krte', 'h']","['liateoffl', 'astha3831232', 'rvcjfb', 'exactli', 'kch', 'ais', 'word', 'h', 'jo', 'sirf', 'hm', 'eastern', 'bihar', 'wale', 'log', 'use', 'krte', 'h']",0.25,0.25,
"_4/4
17. choosing the right over the pleasant is a sign of power.

18. let go, let's move to union with god.… https://t.co/tz1hogckbw","44
17 choosing the right over the pleasant is a sign of power

18 let go lets move to union with god… httpstcotz1hogckbw","_4/4
17. choosing the right over the pleasant is a sign of power.

18. let go  let's move to union with god.… https://t.co/tz1hogckbw","['44', '17', 'choosing', 'the', 'right', 'over', 'the', 'pleasant', 'is', 'a', 'sign', 'of', 'power', '18', 'let', 'go', 'lets', 'move', 'to', 'union', 'with', 'god', 'httpstcotz1hogckbw']","['44', '17', 'choosing', 'right', 'pleasant', 'sign', 'power', '18', 'let', 'go', 'lets', 'move', 'union', 'god', 'httpstcotz1hogckbw']","['44', '17', 'choos', 'right', 'pleasant', 'sign', 'power', '18', 'let', 'go', 'let', 'move', 'union', 'god', 'httpstcotz1hogckbw']",0.5095238095238095,0.7511904761904762,
what da dog doin,what da dog doin,what da dog doin,"['what', 'da', 'dog', 'doin']","['da', 'dog', 'doin']","['da', 'dog', 'doin']",0.0,0.0,
